DS-ID	Tissue	Time	Patient	Peak-File	Cut-Count-File	Aggregation-ID
DS10986	kidney	d82				
DS11872	brain	d122	HS22510	/net/seq/data/aggregations/LN2346/aggregation-9158/peaks/LN2346.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2346/aggregation-9158/LN2346.GRCh38_no_alts.cutcounts.sorted.bed.starch	9158.0
DS12528	adrenal	d96	H22662	/net/seq/data/aggregations/LN2552/aggregation-9153/peaks/LN2552.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2552/aggregation-9153/LN2552.GRCh38_no_alts.cutcounts.sorted.bed.starch	9153.0
DS12635	kidney	d122	H22676	/net/seq/data/aggregations/LN2574/aggregation-9151/peaks/LN2574.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2574/aggregation-9151/LN2574.GRCh38_no_alts.cutcounts.sorted.bed.starch	9151.0
DS12646	lung	d120	H22676	/net/seq/data/aggregations/LN2576/aggregation-9150/peaks/LN2576.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2576/aggregation-9150/LN2576.GRCh38_no_alts.cutcounts.sorted.bed.starch	9150.0
DS12810	heart	d101	H22727	/net/seq/data/aggregations/LN2623/aggregation-9146/peaks/LN2623.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2623/aggregation-9146/LN2623.GRCh38_no_alts.cutcounts.sorted.bed.starch	9146.0
DS12817	lung	d101	H22727	/net/seq/data/aggregations/LN2625/aggregation-9145/peaks/LN2625.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2625/aggregation-9145/LN2625.GRCh38_no_alts.cutcounts.sorted.bed.starch	9145.0
DS13507	lung	d108	H22934B	/net/seq/data/aggregations/LN2809/aggregation-9140/peaks/LN2809.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2809/aggregation-9140/LN2809.GRCh38_no_alts.cutcounts.sorted.bed.starch	9140.0
DS13985	lung	d103	H23090	/net/seq/data/aggregations/LN2926/aggregation-9139/peaks/LN2926.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2926/aggregation-9139/LN2926.GRCh38_no_alts.cutcounts.sorted.bed.starch	9139.0
DS14464	brain	d117	mixed	/net/seq/data/aggregations/LN3078/aggregation-9134/peaks/LN3078.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3078/aggregation-9134/LN3078.GRCh38_no_alts.cutcounts.sorted.bed.starch	9134.0
DS14666	lung	d67	H23247	/net/seq/data/aggregations/LN3145/aggregation-9133/peaks/LN3145.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3145/aggregation-9133/LN3145.GRCh38_no_alts.cutcounts.sorted.bed.starch	9133.0
DS14718	brain	d85	mixed	/net/seq/data/aggregations/LN3165/aggregation-9131/peaks/LN3165.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3165/aggregation-9131/LN3165.GRCh38_no_alts.cutcounts.sorted.bed.starch	9131.0
DS14724	lung	d85	H23266	/net/seq/data/aggregations/LN3167/aggregation-9130/peaks/LN3167.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3167/aggregation-9130/LN3167.GRCh38_no_alts.cutcounts.sorted.bed.starch	9130.0
DS14803	brain	d96	mixed	/net/seq/data/aggregations/LN3186/aggregation-9128/peaks/LN3186.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3186/aggregation-9128/LN3186.GRCh38_no_alts.cutcounts.sorted.bed.starch	9128.0
DS14809	lung	d96	H23284	/net/seq/data/aggregations/LN3187/aggregation-9127/peaks/LN3187.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3187/aggregation-9127/LN3187.GRCh38_no_alts.cutcounts.sorted.bed.starch	9127.0
