Name	DS-ID	Tissue	Time	Group	Cut-Count-File	Peak-File	Stage	Fetal-Early	System	Sub-Name	Previous Sample
3T3_L1_Adipocytes-DS22742	DS22742	3T3_L1_Adipocytes		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.3T3_L1_Adipocytes-DS22742.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/3T3_L1_Adipocytes-DS22742.peaks.mm10.bed.starch	adult		Connective		TRUE
3T3_L1_Adipocytes-DS22747	DS22747	3T3_L1_Adipocytes		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.3T3_L1_Adipocytes-DS22747.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/3T3_L1_Adipocytes-DS22747.peaks.mm10.bed.starch	adult		Connective		TRUE
3T3_L1_PreAdipocytes-DS22637	DS22637	3T3_L1_PreAdipocytes		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.3T3_L1_PreAdipocytes-DS22637.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/3T3_L1_PreAdipocytes-DS22637.peaks.mm10.bed.starch	adult		Connective		TRUE
3T3_L1_PreAdipocytes-DS22642	DS22642	3T3_L1_PreAdipocytes		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.3T3_L1_PreAdipocytes-DS22642.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/3T3_L1_PreAdipocytes-DS22642.peaks.mm10.bed.starch	adult		Connective		TRUE
CH12-DS22536	DS22536	CH12		B cell lymphoma	/home/jlazar/proj/mouse_encode/cut_counts/base-count.CH12-DS22536.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/CH12-DS22536.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
CH12-DS22542	DS22542	CH12		B cell lymphoma	/home/jlazar/proj/mouse_encode/cut_counts/base-count.CH12-DS22542.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/CH12-DS22542.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
m3134-DS8368	DS8368	m3134		breast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.m3134-DS8368.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/m3134-DS8368.peaks.mm10.bed.starch	adult		Carcinoma	Cancer	TRUE
m3134-DS8497	DS8497	m3134		breast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.m3134-DS8497.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/m3134-DS8497.peaks.mm10.bed.starch	adult		Carcinoma	Cancer	TRUE
m416B-DS14099	DS14099	m416B		CD34	/home/jlazar/proj/mouse_encode/cut_counts/base-count.m416B-DS14099.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/m416B-DS14099.peaks.mm10.bed.starch	adult		Heme		TRUE
m416B-DS14104	DS14104	m416B		CD34	/home/jlazar/proj/mouse_encode/cut_counts/base-count.m416B-DS14104.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/m416B-DS14104.peaks.mm10.bed.starch	adult		Heme		TRUE
