Human	Mouse	jaccard12
ENSG00000272768	ENSMUSG00000086839	0.16229444
ENSG00000253405	ENSMUSG00000086126	0.09709452
ENSG00000275741	ENSMUSG00000096938	0.086741243
ENSG00000255525	ENSMUSG00000100156	0.083318107
ENSG00000203709	ENSMUSG00000096929	0.067307692
ENSG00000255794	ENSMUSG00000097348	0.064779532
ENSG00000272562	ENSMUSG00000073485	0.058771307
ENSG00000254286	ENSMUSG00000097493	0.050457103
ENSG00000278907	ENSMUSG00000102634	0.048981742
ENSG00000235257	ENSMUSG00000086119	0.043020193
ENSG00000236144	ENSMUSG00000097320	0.04226374
ENSG00000261840	ENSMUSG00000101225	0.042243646
ENSG00000275445	ENSMUSG00000097343	0.039880534
ENSG00000232533	ENSMUSG00000108033	0.036926846
ENSG00000224043	ENSMUSG00000102014	0.0355841
ENSG00000226380	ENSMUSG00000097998	0.026724138
ENSG00000260278	ENSMUSG00000105006	0.026061443
ENSG00000235972	ENSMUSG00000089647	0.021604938
ENSG00000230148	ENSMUSG00000084844	0.020558506
ENSG00000273062	ENSMUSG00000101905	0.01968841
ENSG00000268186	ENSMUSG00000103176	0.016229477
ENSG00000273474	ENSMUSG00000086018	0.013876843
ENSG00000257060	ENSMUSG00000101843	0.013520452
ENSG00000228544	ENSMUSG00000052403	0.01292517
ENSG00000266505	ENSMUSG00000103176	0.012201785
ENSG00000273015	ENSMUSG00000097536	0.011606076
ENSG00000270190	ENSMUSG00000084776	0.011464497
ENSG00000238266	ENSMUSG00000087459	0.011231006
ENSG00000250043	ENSMUSG00000044306	0.010981469
ENSG00000279047	ENSMUSG00000103985	0.010875106
ENSG00000225255	ENSMUSG00000100070	0.010744986
ENSG00000276527	ENSMUSG00000085229	0.010671798
ENSG00000255062	ENSMUSG00000086154	0.010625111
ENSG00000260981	ENSMUSG00000019933	0.01061342
ENSG00000237721	ENSMUSG00000085046	0.010457285
ENSG00000246695	ENSMUSG00000085658	0.010211146
ENSG00000229537	ENSMUSG00000069223	0.00984116
ENSG00000273247	ENSMUSG00000086159	0.009746589
ENSG00000267475	ENSMUSG00000097509	0.009726962
ENSG00000249082	ENSMUSG00000100096	0.009646302
ENSG00000229512	ENSMUSG00000044306	0.009528851
ENSG00000257472	ENSMUSG00000084776	0.009512938
ENSG00000272158	ENSMUSG00000084776	0.00950783
ENSG00000266979	ENSMUSG00000079489	0.009479521
ENSG00000237286	ENSMUSG00000099815	0.009477825
ENSG00000236366	ENSMUSG00000087074	0.009004142
ENSG00000235904	ENSMUSG00000084776	0.008911994
ENSG00000260944	ENSMUSG00000087383	0.008866155
ENSG00000256115	ENSMUSG00000101659	0.008791209
ENSG00000264673	ENSMUSG00000085229	0.008677543
ENSG00000258693	ENSMUSG00000085229	0.0086435
ENSG00000256955	ENSMUSG00000086558	0.008643367
ENSG00000228427	ENSMUSG00000085229	0.008530641
ENSG00000275703	ENSMUSG00000108977	0.008474576
ENSG00000270720	ENSMUSG00000085229	0.008288724
ENSG00000272010	ENSMUSG00000085229	0.008249956
ENSG00000262265	ENSMUSG00000085229	0.008134303
ENSG00000257253	ENSMUSG00000100465	0.00813302
ENSG00000230442	ENSMUSG00000087330	0.008107642
ENSG00000234705	ENSMUSG00000085229	0.008083348
ENSG00000269867	ENSMUSG00000104631	0.008015675
ENSG00000269799	ENSMUSG00000100465	0.007975035
ENSG00000272154	ENSMUSG00000103985	0.007963402
ENSG00000203334	ENSMUSG00000085229	0.00792011
ENSG00000259499	ENSMUSG00000087547	0.007911392
ENSG00000225936	ENSMUSG00000101630	0.007898352
ENSG00000250564	ENSMUSG00000085229	0.007876772
ENSG00000230896	ENSMUSG00000085229	0.007875394
ENSG00000259797	ENSMUSG00000100465	0.007827448
ENSG00000259181	ENSMUSG00000085229	0.007813857
ENSG00000258959	ENSMUSG00000100465	0.007726076
ENSG00000232300	ENSMUSG00000100465	0.007717373
ENSG00000269834	ENSMUSG00000085861	0.007673526
ENSG00000232930	ENSMUSG00000100465	0.007642663
ENSG00000188511	ENSMUSG00000053528	0.00764037
ENSG00000260366	ENSMUSG00000100465	0.007633588
ENSG00000204054	ENSMUSG00000086430	0.00759449
ENSG00000237851	ENSMUSG00000104016	0.007505971
ENSG00000234912	ENSMUSG00000085345	0.00747198
ENSG00000260381	ENSMUSG00000085229	0.007448467
ENSG00000259589	ENSMUSG00000085229	0.007431732
ENSG00000231955	ENSMUSG00000101061	0.007431732
ENSG00000253567	ENSMUSG00000100465	0.007381974
ENSG00000259309	ENSMUSG00000101453	0.007342407
ENSG00000260630	ENSMUSG00000106808	0.007334963
ENSG00000228566	ENSMUSG00000085229	0.007300539
ENSG00000266601	ENSMUSG00000086159	0.007285004
ENSG00000203711	ENSMUSG00000108977	0.00722467
ENSG00000271913	ENSMUSG00000090069	0.007220217
ENSG00000232188	ENSMUSG00000085229	0.007205624
ENSG00000251629	ENSMUSG00000100465	0.007191781
ENSG00000223901	ENSMUSG00000085229	0.007181329
ENSG00000260172	ENSMUSG00000100465	0.007141643
ENSG00000260487	ENSMUSG00000090038	0.007064641
ENSG00000225721	ENSMUSG00000085229	0.007059229
ENSG00000234327	ENSMUSG00000085229	0.007056799
ENSG00000230947	ENSMUSG00000087292	0.007054674
ENSG00000247853	ENSMUSG00000085229	0.007027407
ENSG00000263812	ENSMUSG00000085229	0.007010165
ENSG00000268636	ENSMUSG00000100465	0.006995393
ENSG00000253524	ENSMUSG00000097893	0.006981132
ENSG00000256686	ENSMUSG00000100465	0.006956227
ENSG00000234601	ENSMUSG00000105963	0.006919218
ENSG00000261889	ENSMUSG00000100465	0.006870491
ENSG00000267234	ENSMUSG00000106674	0.006865774
ENSG00000223528	ENSMUSG00000108977	0.006856359
